GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
workvenue-backend,com.workvenue.backend.core.util.exception,ControllerException,46,6,0,0,11,3,9,1,9,1
workvenue-backend,com.workvenue.backend.core.util.exception,CustomAccessDeniedHandler,36,0,0,0,10,0,2,0,2,0
workvenue-backend,com.workvenue.backend.core.util.exception,GlobalExceptionHandler,85,0,0,0,12,0,4,0,4,0
workvenue-backend,com.workvenue.backend.core.util.exception,CustomAuthenticationEntryPoint,36,0,0,0,10,0,2,0,2,0
workvenue-backend,com.workvenue.backend.core.constant,ErrorMessage,3,0,0,0,1,0,1,0,1,0
workvenue-backend,com.workvenue.backend.core.constant,SuccessMessage,3,0,0,0,1,0,1,0,1,0
workvenue-backend,com.workvenue.backend.core.constant,ErrorMessage.VisitorError,10,0,0,0,1,0,1,0,1,0
workvenue-backend,com.workvenue.backend.core.constant,ControllerName,78,0,0,0,11,0,3,0,3,0
workvenue-backend,com.workvenue.backend.core.constant,ErrorCode,57,0,0,0,10,0,4,0,4,0
workvenue-backend,com.workvenue.backend.core.constant,ErrorMessage.GeneralError,10,0,0,0,1,0,1,0,1,0
workvenue-backend,com.workvenue.backend.core.constant,ErrorMessage.VenueError,10,0,0,0,1,0,1,0,1,0
workvenue-backend,com.workvenue.backend.data.response.venue,CreateVenueControllerResponse,7,10,0,0,3,5,1,3,1,3
workvenue-backend,com.workvenue.backend.data.response.venue,GetAllVenueControllerResponse,11,10,0,0,5,5,2,3,2,3
workvenue-backend,com.workvenue.backend.data.response.venue,UpdateVenueControllerResponse,17,0,0,0,8,0,4,0,4,0
workvenue-backend,com.workvenue.backend.configuration,TransactionConfiguration,3,0,0,0,1,0,1,0,1,0
workvenue-backend,com.workvenue.backend.configuration,SwaggerConfiguration,32,0,0,0,6,0,3,0,3,0
workvenue-backend,com.workvenue.backend.configuration,SecurityConfiguration,15,0,0,0,4,0,3,0,3,0
workvenue-backend,com.workvenue.backend.configuration,MapperConfiguration,7,0,0,0,2,0,2,0,2,0
workvenue-backend,com.workvenue.backend,WorkvenueBackendApplication,8,0,0,0,3,0,2,0,2,0
workvenue-backend,com.workvenue.backend.controller,VenueController,68,0,0,0,10,0,4,0,4,0
workvenue-backend,com.workvenue.backend.controller,VisitorController,89,0,0,0,18,0,4,0,4,0
workvenue-backend,com.workvenue.backend.data.dto,VenueDTO,34,42,0,0,17,15,9,7,9,7
workvenue-backend,com.workvenue.backend.data.dto,VisitorDTO,66,0,0,0,28,0,14,0,14,0
workvenue-backend,com.workvenue.backend.data.response,BaseControllerResponse,13,3,0,0,3,1,3,1,3,1
workvenue-backend,com.workvenue.backend.data.request.visitor,UpdateVisitorControllerRequest,16,0,0,0,8,0,4,0,4,0
workvenue-backend,com.workvenue.backend.data.request.visitor,RegisterVisitorControllerRequest,16,0,0,0,8,0,4,0,4,0
workvenue-backend,com.workvenue.backend.service.impl,VisitorManager,252,0,10,0,54,0,12,0,7,0
workvenue-backend,com.workvenue.backend.service.impl,VenueManager,113,112,4,2,23,26,5,6,3,5
workvenue-backend,com.workvenue.backend.data.model,Venue,8,59,0,0,1,9,2,15,2,15
workvenue-backend,com.workvenue.backend.data.model,Admin,3,0,0,0,1,0,1,0,1,0
workvenue-backend,com.workvenue.backend.data.model,BaseUser,31,0,0,0,6,0,9,0,9,0
workvenue-backend,com.workvenue.backend.data.model,Visitor,83,0,0,0,12,0,21,0,21,0
workvenue-backend,com.workvenue.backend.data.model,UserRole,27,0,0,0,3,0,2,0,2,0
workvenue-backend,com.workvenue.backend.data.response.visitor,GetAllVisitorControllerResponse,21,0,0,0,10,0,5,0,5,0
workvenue-backend,com.workvenue.backend.data.response.visitor,RegisterVisitorControllerResponse,17,0,0,0,8,0,4,0,4,0
workvenue-backend,com.workvenue.backend.data.response.visitor,UpdateVisitorControllerResponse,17,0,0,0,8,0,4,0,4,0
workvenue-backend,com.workvenue.backend.data.request,BaseControllerRequest,13,3,0,0,3,1,3,1,3,1
workvenue-backend,com.workvenue.backend.core.enums,Network,24,0,0,0,3,0,1,0,1,0
workvenue-backend,com.workvenue.backend.core.enums,Category,44,0,0,0,5,0,1,0,1,0
workvenue-backend,com.workvenue.backend.core.enums,Status,0,34,0,0,0,4,0,1,0,1
workvenue-backend,com.workvenue.backend.core.util,RestHeader,33,0,0,0,5,0,7,0,7,0
workvenue-backend,com.workvenue.backend.core.util,MessageUtil,16,0,0,0,2,0,2,0,2,0
workvenue-backend,com.workvenue.backend.core.util,ValidationUtil,8,4,1,1,2,2,2,1,1,1
workvenue-backend,com.workvenue.backend.core.util,ErrorDetail,33,0,0,0,14,0,7,0,7,0
workvenue-backend,com.workvenue.backend.security,JwtAuthenticationFilter,99,0,0,0,28,0,3,0,3,0
workvenue-backend,com.workvenue.backend.security,JwtAuthorizationFilter,92,0,6,0,21,0,5,0,2,0
workvenue-backend,com.workvenue.backend.security,SecurityConfigurer,109,0,0,0,23,0,5,0,5,0
workvenue-backend,com.workvenue.backend.data.request.venue,UpdateVenueControllerRequest,16,0,0,0,8,0,4,0,4,0
workvenue-backend,com.workvenue.backend.data.request.venue,CreateVenueControllerRequest,0,11,0,0,0,3,0,3,0,3
